task_id	stage	matrix_slug	goal_offset	config	matrix_index	policy_id	anchor_id
0	A	ogb_cube_goal25	25	configs/research/release20260728_dense_ogb_cube_all_fidelity_schedules.yaml	2285	P20	a1
1	A	ogb_cube_goal25	25	configs/research/release20260728_dense_ogb_cube_all_fidelity_schedules.yaml	2525	P22	a1
2	A	ogb_cube_goal25	25	configs/research/release20260728_dense_ogb_cube_all_fidelity_schedules.yaml	2577	P22	a3
3	A	ogb_cube_goal25	25	configs/research/release20260728_dense_ogb_cube_all_fidelity_schedules.yaml	2645	P23	a1
4	A	ogb_cube_goal50	50	configs/research/release20260728_dense_ogb_cube_goal50_plan50_execute20_all_fidelity_schedules.yaml	2645	P23	a1
5	A	ogb_cube_goal50	50	configs/research/release20260728_dense_ogb_cube_goal50_plan50_execute20_all_fidelity_schedules.yaml	2671	P23	a2
6	A	ogb_cube_goal50	50	configs/research/release20260728_dense_ogb_cube_goal50_plan50_execute20_all_fidelity_schedules.yaml	2697	P23	a3
7	A	pusht_goal50	50	configs/research/release20260728_dense_pusht_goal50_plan50_execute20_all_fidelity_schedules.yaml	845	P08	a1
8	A	pusht_goal50	50	configs/research/release20260728_dense_pusht_goal50_plan50_execute20_all_fidelity_schedules.yaml	2645	P23	a1
9	A	pusht_goal50	50	configs/research/release20260728_dense_pusht_goal50_plan50_execute20_all_fidelity_schedules.yaml	3005	P26	a1
10	A	reacher_goal25	25	configs/research/release20260728_dense_reacher_all_fidelity_schedules.yaml	845	P08	a1
11	A	reacher_goal25	25	configs/research/release20260728_dense_reacher_all_fidelity_schedules.yaml	2645	P23	a1
12	A	reacher_goal25	25	configs/research/release20260728_dense_reacher_all_fidelity_schedules.yaml	2765	P24	a1
13	A	reacher_goal50	50	configs/research/release20260728_dense_reacher_goal50_plan50_execute20_all_fidelity_schedules.yaml	2165	P19	a1
14	A	reacher_goal50	50	configs/research/release20260728_dense_reacher_goal50_plan50_execute20_all_fidelity_schedules.yaml	2285	P20	a1
15	A	reacher_goal50	50	configs/research/release20260728_dense_reacher_goal50_plan50_execute20_all_fidelity_schedules.yaml	2405	P21	a1
16	A	reacher_goal50	50	configs/research/release20260728_dense_reacher_goal50_plan50_execute20_all_fidelity_schedules.yaml	2645	P23	a1
17	A	reacher_goal50	50	configs/research/release20260728_dense_reacher_goal50_plan50_execute20_all_fidelity_schedules.yaml	2911	P25	a2
18	A	tworoom_goal25	25	configs/research/release20260728_dense_tworoom_all_fidelity_schedules.yaml	2045	P18	a1
19	A	tworoom_goal25	25	configs/research/release20260728_dense_tworoom_all_fidelity_schedules.yaml	2285	P20	a1
20	A	tworoom_goal25	25	configs/research/release20260728_dense_tworoom_all_fidelity_schedules.yaml	2645	P23	a1
21	A	tworoom_goal50	50	configs/research/release20260728_dense_tworoom_goal50_plan50_execute20_all_fidelity_schedules.yaml	845	P08	a1
22	A	tworoom_goal50	50	configs/research/release20260728_dense_tworoom_goal50_plan50_execute20_all_fidelity_schedules.yaml	2431	P21	a2
23	A	tworoom_goal50	50	configs/research/release20260728_dense_tworoom_goal50_plan50_execute20_all_fidelity_schedules.yaml	2551	P22	a2
24	A	tworoom_goal50	50	configs/research/release20260728_dense_tworoom_goal50_plan50_execute20_all_fidelity_schedules.yaml	2645	P23	a1
25	A	tworoom_goal50	50	configs/research/release20260728_dense_tworoom_goal50_plan50_execute20_all_fidelity_schedules.yaml	2671	P23	a2
26	B	ogb_cube_goal50	50	configs/research/release20260728_dense_ogb_cube_goal50_plan50_execute20_all_fidelity_schedules.yaml	229	P02	a5
