env,seed,upstream_success_rate,identity_success_rate,identity_minus_upstream,manifest_sha256,shared_failure_indices,upstream_only_failure_indices,identity_only_failure_indices
pusht,0,84.0,92.0,8.0,149371dec02b9fd069ac069aeb4e08efaa740295880783fffb1384990af97f25,"[4, 30, 45]","[6, 12, 28, 31, 38]",[49]
pusht,1,88.0,94.0,6.0,fad809ebb2c75c92d3d0a36a2654f78c2f82e69bb7e2ea145222af15962cad3a,"[36, 39, 48]","[6, 17, 22]",[]
pusht,2,86.0,96.0,10.0,00f866285b8770875f428d02a258927d5d529749302ff09e7872c5870ce5f8d9,"[32, 41]","[23, 24, 39, 46, 48]",[]
pusht,42,98.0,92.0,-6.0,38573cb0547933497d947c0dc0f75b51bfbf7e6fe9dec93f0216ce8b2b49242c,[],[23],"[15, 17, 32, 42]"
pusht,100,74.0,86.0,12.0,9040dcfcddd2500217727ae96e0b612f6b98a82e96f1fc444d3538b0b39f348b,"[0, 2, 9, 26, 36, 40]","[3, 13, 22, 24, 27, 38, 41]",[32]
tworoom,0,84.0,80.0,-4.0,d0759da175b08f91d47b3246518653d51fe0d291a541d9113c9ef937cae04eb0,"[1, 3, 16, 17, 18, 28]","[8, 14]","[24, 27, 39, 48]"
tworoom,1,92.0,94.0,2.0,78b856f37752adeb7746cfbd80c39dd8c74c1c5bf6311b483ca2df7be3eaaebb,"[8, 45, 47]",[49],[]
tworoom,2,80.0,88.0,8.0,b4c030203062b82a2992008dcd3c2dba9ee8deb7628d003b7339b132fccc63a1,"[1, 3, 11, 19]","[10, 14, 18, 34, 42, 48]","[22, 29]"
tworoom,42,86.0,90.0,4.0,0b5e88f01d327950cc2c894a0e90f29966c643c15b8c4e3b0b0cb48871c9f951,"[3, 17, 31]","[1, 7, 8, 14]","[28, 38]"
tworoom,100,80.0,76.0,-4.0,0dae09919bf8b8c267f6ea6219c790695ca887faf5bfecb63048b47ebeb4b2f6,"[1, 10, 28, 29, 30, 35, 38, 41, 49]",[3],"[16, 32, 33]"
