stage,environment,seed,episode_index,dataset_episode,start_step,goal_step,published_success,retrained_success
screen,ogb_cube,0,0,27,67,91,1,1
screen,ogb_cube,0,1,53,92,116,1,1
screen,ogb_cube,0,2,82,148,172,0,1
screen,ogb_cube,0,3,165,47,71,0,0
screen,ogb_cube,0,4,221,3,27,1,1
screen,ogb_cube,0,5,283,34,58,1,1
screen,ogb_cube,0,6,335,149,173,1,1
screen,ogb_cube,0,7,409,127,151,1,1
screen,ogb_cube,0,8,752,67,91,1,1
screen,ogb_cube,0,9,803,174,198,1,1
screen,ogb_cube,0,10,892,151,175,1,1
screen,ogb_cube,0,11,1242,145,169,1,1
screen,ogb_cube,0,12,1752,111,135,1,1
screen,ogb_cube,0,13,1756,94,118,1,1
screen,ogb_cube,0,14,2572,175,199,1,1
screen,ogb_cube,0,15,2697,139,163,1,1
screen,ogb_cube,0,16,2773,74,98,1,1
screen,ogb_cube,0,17,2997,17,41,0,0
screen,ogb_cube,0,18,3078,37,61,0,1
screen,ogb_cube,0,19,3941,76,100,1,1
screen,ogb_cube,0,20,4032,63,87,1,1
screen,ogb_cube,0,21,4226,148,172,1,1
screen,ogb_cube,0,22,4810,102,126,0,0
screen,ogb_cube,0,23,5036,28,52,0,1
screen,ogb_cube,0,24,5111,39,63,0,0
screen,ogb_cube,0,25,5256,29,53,1,1
screen,ogb_cube,0,26,5414,99,123,0,0
screen,ogb_cube,0,27,5436,26,50,0,0
screen,ogb_cube,0,28,5543,12,36,0,0
screen,ogb_cube,0,29,5599,12,36,0,0
screen,ogb_cube,0,30,6066,40,64,0,0
screen,ogb_cube,0,31,6153,149,173,1,1
screen,ogb_cube,0,32,6322,103,127,1,1
screen,ogb_cube,0,33,6369,77,101,1,1
screen,ogb_cube,0,34,6471,155,179,1,1
screen,ogb_cube,0,35,6494,1,25,1,1
screen,ogb_cube,0,36,6706,39,63,0,0
screen,ogb_cube,0,37,6708,115,139,1,1
screen,ogb_cube,0,38,7294,144,168,1,1
screen,ogb_cube,0,39,7296,82,106,1,1
screen,ogb_cube,0,40,7648,141,165,1,1
screen,ogb_cube,0,41,8132,90,114,1,1
screen,ogb_cube,0,42,8158,70,94,1,1
screen,ogb_cube,0,43,8465,115,139,1,1
screen,ogb_cube,0,44,8506,0,24,1,1
screen,ogb_cube,0,45,8573,162,186,1,1
screen,ogb_cube,0,46,8631,124,148,1,1
screen,ogb_cube,0,47,9127,62,86,1,1
screen,ogb_cube,0,48,9350,98,122,0,0
screen,ogb_cube,0,49,9707,40,64,1,1
screen,ogb_cube,1,0,198,39,63,0,0
screen,ogb_cube,1,1,275,103,127,0,0
screen,ogb_cube,1,2,348,90,114,1,1
screen,ogb_cube,1,3,620,35,59,0,0
screen,ogb_cube,1,4,857,66,90,1,1
screen,ogb_cube,1,5,1169,66,90,1,1
screen,ogb_cube,1,6,1239,29,53,1,1
screen,ogb_cube,1,7,1244,34,58,0,0
screen,ogb_cube,1,8,1340,71,95,1,1
screen,ogb_cube,1,9,1441,98,122,0,0
screen,ogb_cube,1,10,2034,94,118,1,1
screen,ogb_cube,1,11,2492,39,63,0,0
screen,ogb_cube,1,12,2569,152,176,1,1
screen,ogb_cube,1,13,2623,20,44,0,0
screen,ogb_cube,1,14,2731,111,135,0,0
screen,ogb_cube,1,15,2804,13,37,0,0
screen,ogb_cube,1,16,3031,160,184,1,1
screen,ogb_cube,1,17,3118,42,66,0,1
screen,ogb_cube,1,18,3297,47,71,0,0
screen,ogb_cube,1,19,3833,14,38,0,0
screen,ogb_cube,1,20,4031,16,40,0,0
screen,ogb_cube,1,21,4091,160,184,1,1
screen,ogb_cube,1,22,4233,30,54,1,1
screen,ogb_cube,1,23,4526,129,153,1,1
screen,ogb_cube,1,24,4534,163,187,1,1
screen,ogb_cube,1,25,4731,132,156,1,1
screen,ogb_cube,1,26,4851,157,181,1,1
screen,ogb_cube,1,27,4982,76,100,1,1
screen,ogb_cube,1,28,5022,96,120,0,0
screen,ogb_cube,1,29,5118,12,36,0,0
screen,ogb_cube,1,30,5381,61,85,1,1
screen,ogb_cube,1,31,5495,146,170,1,1
screen,ogb_cube,1,32,6438,29,53,1,1
screen,ogb_cube,1,33,7491,3,27,1,1
screen,ogb_cube,1,34,7503,107,131,0,0
screen,ogb_cube,1,35,7535,1,25,1,1
screen,ogb_cube,1,36,7551,82,106,1,1
screen,ogb_cube,1,37,7884,32,56,1,1
screen,ogb_cube,1,38,8175,57,81,0,1
screen,ogb_cube,1,39,8229,40,64,0,0
screen,ogb_cube,1,40,8276,149,173,1,1
screen,ogb_cube,1,41,8378,125,149,1,1
screen,ogb_cube,1,42,8655,129,153,1,1
screen,ogb_cube,1,43,8690,9,33,0,0
screen,ogb_cube,1,44,9038,113,137,1,1
screen,ogb_cube,1,45,9486,46,70,0,0
screen,ogb_cube,1,46,9504,67,91,1,1
screen,ogb_cube,1,47,9616,99,123,0,0
screen,ogb_cube,1,48,9768,168,192,1,1
screen,ogb_cube,1,49,9807,62,86,1,1
screen,ogb_cube,2,0,397,142,166,1,1
screen,ogb_cube,2,1,551,80,104,1,1
screen,ogb_cube,2,2,919,24,48,1,1
screen,ogb_cube,2,3,1093,4,28,1,1
screen,ogb_cube,2,4,1500,105,129,0,0
screen,ogb_cube,2,5,1872,90,114,1,1
screen,ogb_cube,2,6,1878,170,194,1,1
screen,ogb_cube,2,7,2013,84,108,1,1
screen,ogb_cube,2,8,2197,59,83,1,1
screen,ogb_cube,2,9,2616,8,32,1,1
screen,ogb_cube,2,10,2749,113,137,1,0
screen,ogb_cube,2,11,2984,146,170,1,1
screen,ogb_cube,2,12,3056,172,196,1,1
screen,ogb_cube,2,13,3181,81,105,1,1
screen,ogb_cube,2,14,3329,149,173,1,1
screen,ogb_cube,2,15,3348,132,156,1,1
screen,ogb_cube,2,16,3459,103,127,0,0
screen,ogb_cube,2,17,3801,119,143,1,1
screen,ogb_cube,2,18,3916,38,62,0,1
screen,ogb_cube,2,19,4138,5,29,1,1
screen,ogb_cube,2,20,4227,139,163,1,1
screen,ogb_cube,2,21,4326,42,66,0,0
screen,ogb_cube,2,22,4512,103,127,0,0
screen,ogb_cube,2,23,5110,112,136,1,1
screen,ogb_cube,2,24,5582,26,50,1,1
screen,ogb_cube,2,25,5622,99,123,0,0
screen,ogb_cube,2,26,5797,54,78,1,1
screen,ogb_cube,2,27,6000,152,176,1,1
screen,ogb_cube,2,28,6331,135,159,1,1
screen,ogb_cube,2,29,6574,37,61,0,0
screen,ogb_cube,2,30,6692,155,179,1,1
screen,ogb_cube,2,31,6787,4,28,1,1
screen,ogb_cube,2,32,6830,103,127,0,0
screen,ogb_cube,2,33,6924,99,123,0,0
screen,ogb_cube,2,34,7285,78,102,1,1
screen,ogb_cube,2,35,7491,118,142,1,1
screen,ogb_cube,2,36,7755,109,133,0,0
screen,ogb_cube,2,37,8131,124,148,1,1
screen,ogb_cube,2,38,8142,8,32,0,0
screen,ogb_cube,2,39,8375,90,114,1,1
screen,ogb_cube,2,40,8678,147,171,1,1
screen,ogb_cube,2,41,8770,42,66,0,0
screen,ogb_cube,2,42,8802,17,41,0,0
screen,ogb_cube,2,43,8912,11,35,0,0
screen,ogb_cube,2,44,9074,45,69,0,0
screen,ogb_cube,2,45,9349,72,96,1,1
screen,ogb_cube,2,46,9452,56,80,1,1
screen,ogb_cube,2,47,9674,45,69,0,0
screen,ogb_cube,2,48,9766,8,32,1,1
screen,ogb_cube,2,49,9928,65,89,1,1
screen,ogb_cube,42,0,638,29,53,0,1
screen,ogb_cube,42,1,679,34,58,0,0
screen,ogb_cube,42,2,859,76,100,1,1
screen,ogb_cube,42,3,892,85,109,1,1
screen,ogb_cube,42,4,921,61,85,1,1
screen,ogb_cube,42,5,941,132,156,1,1
screen,ogb_cube,42,6,1281,19,43,0,0
screen,ogb_cube,42,7,1652,49,73,1,1
screen,ogb_cube,42,8,1825,82,106,1,1
screen,ogb_cube,42,9,2014,113,137,0,0
screen,ogb_cube,42,10,2272,63,87,1,1
screen,ogb_cube,42,11,2767,101,125,0,0
screen,ogb_cube,42,12,3545,43,67,1,1
screen,ogb_cube,42,13,3707,161,185,1,1
screen,ogb_cube,42,14,4024,15,39,0,0
screen,ogb_cube,42,15,4330,6,30,1,1
screen,ogb_cube,42,16,4388,117,141,1,1
screen,ogb_cube,42,17,4434,15,39,0,0
screen,ogb_cube,42,18,4456,152,176,1,1
screen,ogb_cube,42,19,4503,137,161,1,1
screen,ogb_cube,42,20,4504,95,119,1,1
screen,ogb_cube,42,21,5003,76,100,1,1
screen,ogb_cube,42,22,5132,29,53,0,0
screen,ogb_cube,42,23,5264,117,141,1,1
screen,ogb_cube,42,24,5454,39,63,0,0
screen,ogb_cube,42,25,5545,139,163,1,1
screen,ogb_cube,42,26,6316,106,130,1,1
screen,ogb_cube,42,27,6438,98,122,0,0
screen,ogb_cube,42,28,6545,94,118,1,1
screen,ogb_cube,42,29,6779,32,56,1,0
screen,ogb_cube,42,30,6973,89,113,1,1
screen,ogb_cube,42,31,7005,34,58,0,0
screen,ogb_cube,42,32,7174,110,134,1,1
screen,ogb_cube,42,33,7357,64,88,1,1
screen,ogb_cube,42,34,7580,147,171,1,1
screen,ogb_cube,42,35,7611,41,65,1,1
screen,ogb_cube,42,36,7739,60,84,0,1
screen,ogb_cube,42,37,7783,146,170,1,0
screen,ogb_cube,42,38,7815,98,122,0,0
screen,ogb_cube,42,39,7860,85,109,1,1
screen,ogb_cube,42,40,8227,89,113,1,1
screen,ogb_cube,42,41,8276,44,68,1,1
screen,ogb_cube,42,42,8397,58,82,1,1
screen,ogb_cube,42,43,8582,148,172,1,1
screen,ogb_cube,42,44,8585,133,157,1,1
screen,ogb_cube,42,45,8878,143,167,1,1
screen,ogb_cube,42,46,8931,34,58,1,0
screen,ogb_cube,42,47,9267,89,113,1,1
screen,ogb_cube,42,48,9706,167,191,1,1
screen,ogb_cube,42,49,9756,1,25,1,1
screen,ogb_cube,100,0,34,161,185,1,1
screen,ogb_cube,100,1,429,88,112,1,1
screen,ogb_cube,100,2,802,107,131,0,0
screen,ogb_cube,100,3,1241,131,155,1,1
screen,ogb_cube,100,4,1264,53,77,1,1
screen,ogb_cube,100,5,1285,75,99,1,1
screen,ogb_cube,100,6,1417,141,165,1,1
screen,ogb_cube,100,7,1446,48,72,0,0
screen,ogb_cube,100,8,1899,155,179,1,1
screen,ogb_cube,100,9,2279,49,73,1,1
screen,ogb_cube,100,10,2847,62,86,1,1
screen,ogb_cube,100,11,2888,98,122,0,0
screen,ogb_cube,100,12,3219,43,67,0,0
screen,ogb_cube,100,13,3224,39,63,0,0
screen,ogb_cube,100,14,3935,117,141,1,1
screen,ogb_cube,100,15,4118,122,146,1,1
screen,ogb_cube,100,16,4309,69,93,1,1
screen,ogb_cube,100,17,4434,103,127,0,0
screen,ogb_cube,100,18,4487,44,68,0,0
screen,ogb_cube,100,19,4941,103,127,0,0
screen,ogb_cube,100,20,5019,73,97,1,1
screen,ogb_cube,100,21,5055,32,56,0,0
screen,ogb_cube,100,22,5352,74,98,1,1
screen,ogb_cube,100,23,5721,43,67,1,1
screen,ogb_cube,100,24,5810,50,74,1,1
screen,ogb_cube,100,25,5878,67,91,1,1
screen,ogb_cube,100,26,5964,102,126,0,0
screen,ogb_cube,100,27,5965,67,91,1,1
screen,ogb_cube,100,28,5999,9,33,0,0
screen,ogb_cube,100,29,6292,113,137,1,1
screen,ogb_cube,100,30,6871,165,189,1,1
screen,ogb_cube,100,31,6881,73,97,1,1
screen,ogb_cube,100,32,7191,22,46,0,0
screen,ogb_cube,100,33,7242,96,120,1,1
screen,ogb_cube,100,34,7668,110,134,1,1
screen,ogb_cube,100,35,7710,29,53,1,1
screen,ogb_cube,100,36,7742,76,100,1,1
screen,ogb_cube,100,37,7902,81,105,1,1
screen,ogb_cube,100,38,8011,108,132,1,0
screen,ogb_cube,100,39,8349,102,126,0,0
screen,ogb_cube,100,40,8621,141,165,1,1
screen,ogb_cube,100,41,8826,51,75,1,1
screen,ogb_cube,100,42,9103,37,61,1,0
screen,ogb_cube,100,43,9248,44,68,1,1
screen,ogb_cube,100,44,9472,9,33,0,0
screen,ogb_cube,100,45,9736,55,79,1,1
screen,ogb_cube,100,46,9786,31,55,1,0
screen,ogb_cube,100,47,9814,110,134,1,1
screen,ogb_cube,100,48,9957,118,142,1,1
screen,ogb_cube,100,49,9976,122,146,0,1
screen,reacher,0,0,27,67,91,1,1
screen,reacher,0,1,53,92,116,1,1
screen,reacher,0,2,82,148,172,1,1
screen,reacher,0,3,165,47,71,1,1
screen,reacher,0,4,221,3,27,1,1
screen,reacher,0,5,283,34,58,1,1
screen,reacher,0,6,335,149,173,1,1
screen,reacher,0,7,409,127,151,1,1
screen,reacher,0,8,752,67,91,1,1
screen,reacher,0,9,803,174,198,1,1
screen,reacher,0,10,892,151,175,1,1
screen,reacher,0,11,1242,145,169,1,1
screen,reacher,0,12,1752,111,135,1,1
screen,reacher,0,13,1756,94,118,1,1
screen,reacher,0,14,2572,175,199,1,1
screen,reacher,0,15,2697,139,163,1,1
screen,reacher,0,16,2773,74,98,1,1
screen,reacher,0,17,2997,17,41,1,1
screen,reacher,0,18,3078,37,61,1,1
screen,reacher,0,19,3941,76,100,1,1
screen,reacher,0,20,4032,63,87,1,1
screen,reacher,0,21,4226,148,172,1,1
screen,reacher,0,22,4810,102,126,1,1
screen,reacher,0,23,5036,28,52,1,1
