stage,environment,seed,role,episodes,success_rate,plans,steps,cem_cost_calls,dynamics_flops_total,plan_time_total_sec,wall_time_sec,manifest_file_sha256
screen,ogb_cube,0,upstream_lewm_converted,50,72.0,2,50,1000,84799587600000,41.818906996166334,126.85406653303653,776006d039b28a2db5a2ff9ff69a04874a424c1089430f4d2a63dd96aea0457e
screen,ogb_cube,0,sepopt_k192_20260922,50,78.0,2,50,1000,84799587600000,41.303656777134165,123.5010332451202,776006d039b28a2db5a2ff9ff69a04874a424c1089430f4d2a63dd96aea0457e
screen,ogb_cube,1,upstream_lewm_converted,50,57.99999999999999,2,50,1000,84799587600000,41.58004455617629,125.3289005048573,5a6b43f053bf9df26aab49daca5f3dc40c6a34190d2de3224570e3f3f4c77db2
screen,ogb_cube,1,sepopt_k192_20260922,50,62.0,2,50,1000,84799587600000,41.08906910265796,121.83280344307423,5a6b43f053bf9df26aab49daca5f3dc40c6a34190d2de3224570e3f3f4c77db2
screen,ogb_cube,2,upstream_lewm_converted,50,68.0,2,50,1000,84799587600000,42.069585054181516,125.71160319494084,72863a41fd53c5430aacb73a2e16772ea83b007c0402c935a4fd5405055172b6
screen,ogb_cube,2,sepopt_k192_20260922,50,68.0,2,50,1000,84799587600000,41.71809981507249,123.00030798907392,72863a41fd53c5430aacb73a2e16772ea83b007c0402c935a4fd5405055172b6
screen,ogb_cube,42,upstream_lewm_converted,50,74.0,2,50,1000,84799587600000,42.22596239694394,126.02744916989468,04bb47a07bebc0955f432fa4f2c73ded6d8d7ca05f5c04876997af60c5b1d640
screen,ogb_cube,42,sepopt_k192_20260922,50,72.0,2,50,1000,84799587600000,41.81168404011987,122.7302172339987,04bb47a07bebc0955f432fa4f2c73ded6d8d7ca05f5c04876997af60c5b1d640
screen,ogb_cube,100,upstream_lewm_converted,50,70.0,2,50,1000,84799587600000,42.5783153870143,126.59514475800097,fb672659489f85d08d1184da31d3debb2c50dcbc4f630deb79ea7e5efbc01f65
screen,ogb_cube,100,sepopt_k192_20260922,50,66.0,2,50,1000,84799587600000,41.82810988393612,123.26805003290065,fb672659489f85d08d1184da31d3debb2c50dcbc4f630deb79ea7e5efbc01f65
screen,reacher,0,upstream_lewm_converted,50,100.0,2,50,1000,84798237600000,41.41635660897009,74.4740701999981,118aa98d2fe07b7cabd8a73a0af42d8791662586f981595dc8bf073f63c2b4a3
screen,reacher,0,sepopt_k192_20260922,50,98.0,2,50,1000,84798237600000,41.19957338785753,71.3412808580324,118aa98d2fe07b7cabd8a73a0af42d8791662586f981595dc8bf073f63c2b4a3
screen,reacher,1,upstream_lewm_converted,50,98.0,2,50,1000,84798237600000,40.62726763403043,73.72072646790184,6358e3b1a5be184a6f23046f08aff03122525f8ca2ce669d29686a21eb378998
screen,reacher,1,sepopt_k192_20260922,50,98.0,2,50,1000,84798237600000,40.66189454286359,70.64245343580842,6358e3b1a5be184a6f23046f08aff03122525f8ca2ce669d29686a21eb378998
screen,reacher,2,upstream_lewm_converted,50,96.0,2,50,1000,84798237600000,40.801344954175875,73.96094648796134,1685df8311dc45afe19e67c771538b657bad718cced353c5119a3f4429c05f4a
screen,reacher,2,sepopt_k192_20260922,50,94.0,2,50,1000,84798237600000,40.71814287779853,71.0361967838835,1685df8311dc45afe19e67c771538b657bad718cced353c5119a3f4429c05f4a
screen,reacher,42,upstream_lewm_converted,50,90.0,2,50,1000,84798237600000,40.852880160091445,73.61157266283408,901abde97fcbd0c4b518160602af991576e410c65dca502628fba4330c7fc7ce
screen,reacher,42,sepopt_k192_20260922,50,94.0,2,50,1000,84798237600000,40.60639814985916,70.60118639608845,901abde97fcbd0c4b518160602af991576e410c65dca502628fba4330c7fc7ce
screen,reacher,100,upstream_lewm_converted,50,98.0,2,50,1000,84798237600000,41.229647603817284,74.19135279580951,f10e7171acfc60a2edae160ccf38d10a8acc532d78f8f90119a929a3e754bcaa
screen,reacher,100,sepopt_k192_20260922,50,94.0,2,50,1000,84798237600000,41.202103494200855,71.40016419813037,f10e7171acfc60a2edae160ccf38d10a8acc532d78f8f90119a929a3e754bcaa
screen,pusht,0,upstream_lewm_converted,50,84.0,2,50,3000,254394712800000,123.24433873593807,149.66613428597338,2fd8384d7d8fd717e3f607300ee38d0a2949652bd2bedb94966ffb48f8f14e33
screen,pusht,0,sepopt_k192_20260922,50,90.0,2,50,3000,254394712800000,123.6856270218268,147.0185112899635,2fd8384d7d8fd717e3f607300ee38d0a2949652bd2bedb94966ffb48f8f14e33
