stage,environment,seed,episodes_per_model,published_successes,retrained_successes,published_success_rate,retrained_success_rate,retrained_minus_published_pp,both_succeed,published_only,retrained_only
screen,ogb_cube,0,50,36,39,72.0,78.0,6.0,36,0,3
screen,ogb_cube,1,50,29,31,58.0,62.0,4.0,29,0,2
screen,ogb_cube,2,50,34,34,68.0,68.0,0.0,33,1,1
screen,ogb_cube,42,50,37,36,74.0,72.0,-2.0,34,3,2
screen,ogb_cube,100,50,35,33,70.0,66.0,-4.0,32,3,1
screen,reacher,0,50,50,49,100.0,98.0,-2.0,49,1,0
screen,reacher,1,50,49,49,98.0,98.0,0.0,48,1,1
screen,reacher,2,50,48,47,96.0,94.0,-2.0,46,2,1
screen,reacher,42,50,45,47,90.0,94.0,4.0,44,1,3
screen,reacher,100,50,49,47,98.0,94.0,-4.0,46,3,1
screen,pusht,0,50,42,45,84.0,90.0,6.0,41,1,4
screen,pusht,1,50,42,47,84.0,94.0,10.0,41,1,6
screen,pusht,2,50,42,49,84.0,98.0,14.0,42,0,7
screen,pusht,42,50,47,48,94.0,96.0,2.0,46,1,2
screen,pusht,100,50,42,45,84.0,90.0,6.0,42,0,3
screen,tworoom,0,50,42,47,84.0,94.0,10.0,42,0,5
screen,tworoom,1,50,48,49,96.0,98.0,2.0,48,0,1
screen,tworoom,2,50,46,49,92.0,98.0,6.0,46,0,3
screen,tworoom,42,50,45,47,90.0,94.0,4.0,44,1,3
screen,tworoom,100,50,39,44,78.0,88.0,10.0,38,1,6
final,ogb_cube,2002,100,69,71,69.0,71.0,2.0,66,3,5
final,ogb_cube,71623,100,72,68,72.0,68.0,-4.0,66,6,2
final,ogb_cube,82715,100,68,70,68.0,70.0,2.0,65,3,5
final,ogb_cube,86604,100,74,72,74.0,72.0,-2.0,71,3,1
final,ogb_cube,91943,100,73,75,73.0,75.0,2.0,68,5,7
final,reacher,2002,100,96,99,96.0,99.0,3.0,95,1,4
final,reacher,71623,100,99,99,99.0,99.0,0.0,98,1,1
final,reacher,82715,100,97,96,97.0,96.0,-1.0,94,3,2
final,reacher,86604,100,95,95,95.0,95.0,0.0,94,1,1
final,reacher,91943,100,96,99,96.0,99.0,3.0,95,1,4
final,pusht,2002,100,87,93,87.0,93.0,6.0,85,2,8
final,pusht,71623,100,93,90,93.0,90.0,-3.0,88,5,2
final,pusht,82715,100,83,92,83.0,92.0,9.0,80,3,12
final,pusht,86604,100,83,94,83.0,94.0,11.0,81,2,13
final,pusht,91943,100,86,93,86.0,93.0,7.0,84,2,9
final,tworoom,2002,100,85,96,85.0,96.0,11.0,85,0,11
final,tworoom,71623,100,85,95,85.0,95.0,10.0,85,0,10
final,tworoom,82715,100,79,90,79.0,90.0,11.0,77,2,13
final,tworoom,86604,100,86,93,86.0,93.0,7.0,86,0,7
final,tworoom,91943,100,82,94,82.0,94.0,12.0,82,0,12
