Loaded 10000 rollouts
Loaded 10000 rollouts
Ignored short sequence #0: len=83, num_frames=101
Ignored short sequence #2: len=70, num_frames=101
Ignored short sequence #6: len=69, num_frames=101
Ignored short sequence #13: len=67, num_frames=101
Ignored short sequence #17: len=78, num_frames=101
Ignored short sequence #19: len=67, num_frames=101
Ignored short sequence #30: len=94, num_frames=101
Ignored short sequence #31: len=75, num_frames=101
Ignored short sequence #32: len=92, num_frames=101
Ignored short sequence #36: len=100, num_frames=101
Ignored short sequence #45: len=99, num_frames=101
Ignored short sequence #47: len=94, num_frames=101
Ignored short sequence #53: len=85, num_frames=101
Ignored short sequence #60: len=89, num_frames=101
Ignored short sequence #72: len=70, num_frames=101
Ignored short sequence #75: len=67, num_frames=101
Ignored short sequence #76: len=64, num_frames=101
Ignored short sequence #78: len=71, num_frames=101
Ignored short sequence #79: len=64, num_frames=101
Ignored short sequence #82: len=89, num_frames=101
Ignored short sequence #85: len=85, num_frames=101
Ignored short sequence #86: len=99, num_frames=101
Ignored short sequence #91: len=95, num_frames=101
Ignored short sequence #96: len=73, num_frames=101
Ignored short sequence #102: len=90, num_frames=101
Ignored short sequence #108: len=90, num_frames=101
Ignored short sequence #114: len=64, num_frames=101
Ignored short sequence #117: len=99, num_frames=101
Ignored short sequence #125: len=99, num_frames=101
Ignored short sequence #130: len=84, num_frames=101
Ignored short sequence #134: len=98, num_frames=101
Ignored short sequence #138: len=70, num_frames=101
Ignored short sequence #140: len=75, num_frames=101
Ignored short sequence #141: len=78, num_frames=101
Ignored short sequence #144: len=67, num_frames=101
Ignored short sequence #149: len=89, num_frames=101
Ignored short sequence #151: len=94, num_frames=101
Ignored short sequence #155: len=71, num_frames=101
Ignored short sequence #156: len=90, num_frames=101
Ignored short sequence #157: len=95, num_frames=101
Ignored short sequence #158: len=56, num_frames=101
Ignored short sequence #170: len=67, num_frames=101
Ignored short sequence #171: len=73, num_frames=101
Ignored short sequence #178: len=97, num_frames=101
Ignored short sequence #182: len=97, num_frames=101
Ignored short sequence #184: len=67, num_frames=101
Ignored short sequence #185: len=78, num_frames=101
Ignored short sequence #187: len=95, num_frames=101
Ignored short sequence #188: len=56, num_frames=101
Ignored short sequence #189: len=99, num_frames=101
Ignored short sequence #193: len=67, num_frames=101
Ignored short sequence #196: len=49, num_frames=101
Ignored short sequence #198: len=65, num_frames=101
Ignored short sequence #199: len=78, num_frames=101
Ignored short sequence #206: len=69, num_frames=101
Ignored short sequence #214: len=67, num_frames=101
Ignored short sequence #216: len=56, num_frames=101
Ignored short sequence #217: len=67, num_frames=101
Ignored short sequence #231: len=68, num_frames=101
Ignored short sequence #233: len=85, num_frames=101
Ignored short sequence #234: len=89, num_frames=101
Ignored short sequence #236: len=75, num_frames=101
Ignored short sequence #238: len=64, num_frames=101
Ignored short sequence #239: len=64, num_frames=101
Ignored short sequence #241: len=92, num_frames=101
Ignored short sequence #245: len=92, num_frames=101
